Tag Name,Physical Unit,Option 1,Option 2,Option 3,Option 4,Option 5
HP_COMP1_EFFIC,-,OFF,CST,CST,OFF,CST
HP_COMP1_PRATIO,-,CST,OFF,CST,OFF,OFF
HP_FLASH_DP,bar,OFF,CST,OFF,CST,CST
HP_COMP2_EFFIC,-,CST,CST,CST,OFF,CST
HP_COND_LATENT_DP,bar,OFF,OFF,CST,CST,OFF
HP_EVAP_DP,bar,CST,OFF,CST,CST,OFF
COP_REAL,-,OFF,OFF,OFF,OFF,CST
HP_COND_SENSIBLE_DP,bar,OFF,CST,CST,CST,OFF
EPFL_COND_SENSIBLE_DP1,bar,CST,CST,OFF,CST,OFF
EPFL_COND_LATENT_DP1,bar,OFF,OFF,CST,CST,OFF
Q_COND_LOAD,-,CST,OFF,CST,CST,CST
DELTAT_MIN_VAR1,-,CST,CST,OFF,CST,OFF
MAX_MASSF_HP2,-,OFF,OFF,CST,CST,OFF
MAX_MASSF_HP6,-,OFF,CST,OFF,CST,CST
HP2_T,C,OFF,OFF,CST,CST,OFF
HP2_MASSF,kg/s,OFF,CST,CST,OFF,CST
W_HP_COMP1_POWER,kW,OFF,CST,OFF,OFF,OFF
W_HP_COMP2_POWER,kW,CST,OFF,OFF,OFF,CST
HP5_T,C,CST,CST,CST,OFF,CST
HP5BIS_T,C,OFF,OFF,OFF,OFF,CST
HP6_T,C,OFF,CST,CST,OFF,OFF
HP6_MASSF,kg/s,OFF,OFF,OFF,OFF,OFF
Q_COND_LATENT_LOAD,kW,OFF,CST,CST,OFF,OFF
HP1_T,C,OFF,CST,CST,OFF,OFF
Q_EVAP_LOAD,kW,CST,OFF,OFF,OFF,CST
Q_COND_SENSIBLE_LOAD,kW,CST,OFF,CST,OFF,OFF
EPFL_OUTBIS_P,bar,OFF,OFF,CST,CST,OFF
EPFL_OUTBIS_T,C,CST,CST,OFF,OFF,CST
EPFL_IN_P,bar,CST,CST,CST,CST,OFF
EPFL_IN_T,C,CST,OFF,CST,CST,OFF
EPFL_OUT_P,bar,OFF,CST,OFF,CST,OFF
EPFL_OUT_T,C,CST,CST,OFF,CST,OFF
EPFL_OUT_MASSF,kg/s,OFF,CST,OFF,OFF,CST